time,frequency,confidence
0.000,646.845,0.069173
0.010,647.738,0.097011
0.020,288.181,0.038147
0.030,546.645,0.055953
0.040,1957.605,0.014517
0.050,1957.599,0.014469
0.060,1957.600,0.014470
0.070,1957.600,0.014470
0.080,1957.600,0.014472
0.090,1957.589,0.014478
0.100,1957.590,0.014498
0.110,1957.600,0.014553
0.120,1957.615,0.014588
0.130,1957.625,0.014635
0.140,1957.628,0.014624
0.150,1957.626,0.014621
0.160,1957.622,0.014620
0.170,1957.621,0.014629
0.180,1957.619,0.014628
0.190,1957.623,0.014638
0.200,1957.626,0.014646
0.210,1957.625,0.014651
0.220,1957.622,0.014648
0.230,1957.626,0.014643
0.240,1957.628,0.014644
0.250,1957.625,0.014638
0.260,1957.629,0.014640
0.270,1957.632,0.014642
0.280,1957.633,0.014639
0.290,1957.632,0.014643
0.300,1957.632,0.014643
0.310,1957.632,0.014643
0.320,1957.632,0.014643
0.330,1957.632,0.014643
0.340,1957.632,0.014643
0.350,1957.632,0.014643
0.360,1957.632,0.014643
0.370,1957.632,0.014643
0.380,1957.632,0.014643
0.390,1957.629,0.014645
0.400,1957.632,0.014640
0.410,1957.633,0.014638
0.420,1957.634,0.014617
0.430,1957.637,0.014592
0.440,1957.629,0.014539
0.450,1957.608,0.014510
0.460,1957.599,0.014467
0.470,1957.594,0.014458
0.480,1957.592,0.014443
0.490,1957.597,0.014444
0.500,1957.597,0.014445
0.510,1957.598,0.014443
0.520,1957.598,0.014444
0.530,1957.596,0.014444
0.540,1957.595,0.014450
0.550,1957.592,0.014451
0.560,1957.593,0.014455
0.570,551.344,0.239336
0.580,557.135,0.055007
0.590,589.434,0.097703
0.600,597.846,0.072970
0.610,649.942,0.070102
0.620,657.941,0.099783
0.630,591.137,0.054290
0.640,589.929,0.089581
0.650,551.944,0.300556
0.660,275.141,0.195252
0.670,147.577,0.058578
0.680,112.291,0.016979
0.690,33.190,0.023297
0.700,32.228,0.105164
0.710,32.079,0.065615
0.720,43.972,0.058023
0.730,44.240,0.512600
0.740,44.109,0.297046
0.750,32.924,0.007319
0.760,64.727,0.012005
0.770,64.595,0.008736
0.780,277.711,0.106335
0.790,290.301,0.471435
0.800,281.861,0.326466
0.810,33.013,0.195716
0.820,288.371,0.379942
0.830,282.983,0.299462
0.840,316.892,0.170945
0.850,540.655,0.104916
0.860,54.368,0.036817
0.870,292.411,0.178818
0.880,287.570,0.111929
0.890,286.735,0.703271
0.900,289.316,0.327218
0.910,298.184,0.192152
0.920,300.951,0.248236
0.930,297.600,0.208344
0.940,294.036,0.200881
0.950,292.930,0.136762
0.960,32.368,0.050657
0.970,57.851,0.054476
0.980,292.579,0.054787
0.990,292.450,0.317557
1.000,294.181,0.417604
1.010,293.343,0.503976
1.020,293.883,0.545807
1.030,292.930,0.433244
1.040,270.689,0.204778
1.050,534.789,0.101255
1.060,292.114,0.312337
1.070,293.423,0.374480
1.080,293.050,0.220324
1.090,289.439,0.260515
1.100,286.507,0.123042
1.110,442.119,0.109418
1.120,445.098,0.174278
1.130,288.752,0.194242
1.140,532.042,0.035582
1.150,290.665,0.121187
1.160,251.930,0.089580
1.170,258.983,0.030838
1.180,32.627,0.084067
1.190,33.036,0.115641
1.200,33.261,0.083498
1.210,33.680,0.029506
1.220,33.020,0.034064
1.230,32.813,0.031252
1.240,32.913,0.026315
1.250,32.811,0.028474
1.260,32.944,0.136166
1.270,32.909,0.092151
1.280,33.526,0.032151
1.290,33.826,0.427256
1.300,33.705,0.299198
1.310,453.152,0.161598
1.320,450.337,0.054844
1.330,33.575,0.014216
1.340,32.315,0.007049
1.350,1314.095,0.005989
1.360,445.665,0.021099
1.370,221.467,0.139661
1.380,447.156,0.076757
1.390,451.401,0.087957
1.400,450.023,0.100855
1.410,446.855,0.117723
1.420,32.209,0.048708
1.430,32.202,0.047246
1.440,32.077,0.029329
1.450,32.120,0.048544
1.460,32.186,0.014046
1.470,1974.611,0.008115
1.480,533.828,0.025196
1.490,448.953,0.066305
1.500,895.934,0.077101
1.510,675.490,0.066088
1.520,130.269,0.017686
1.530,127.435,0.003089
1.540,1323.670,0.003717
1.550,33.470,0.009989
1.560,1329.914,0.009353
1.570,1336.668,0.046805
1.580,1334.777,0.036391
1.590,1341.306,0.037181
1.600,1046.605,0.033363
1.610,591.170,0.118966
1.620,589.827,0.300820
1.630,881.448,0.201520
1.640,580.043,0.460004
1.650,584.379,0.092479
1.660,32.359,0.026971
1.670,32.237,0.064999
1.680,32.318,0.113331
1.690,32.495,0.112066
1.700,44.852,0.243138
1.710,33.058,0.102051
1.720,33.026,0.413547
1.730,32.549,0.160192
1.740,32.878,0.059366
1.750,32.784,0.042525
1.760,1188.359,0.051573
1.770,147.124,0.035576
1.780,34.061,0.094420
1.790,33.260,0.037575
1.800,41.466,0.027294
1.810,1200.007,0.045434
1.820,1204.991,0.070856
1.830,148.593,0.077762
1.840,604.264,0.108942
1.850,602.883,0.097191
1.860,595.691,0.372119
1.870,594.251,0.231246
1.880,595.095,0.070948
1.890,594.493,0.182704
1.900,592.747,0.083283
1.910,590.533,0.055064
1.920,583.318,0.060879
1.930,581.725,0.142100
1.940,583.321,0.103249
1.950,1178.474,0.019793
1.960,535.373,0.041241
1.970,533.820,0.160052
1.980,534.321,0.282409
1.990,535.189,0.336718
2.000,537.127,0.437302
2.010,537.974,0.257632
2.020,224.003,0.126070
2.030,33.356,0.057481
2.040,33.420,0.017883
2.050,50.237,0.051774
2.060,49.581,0.025485
2.070,49.610,0.018051
2.080,49.803,0.002923
2.090,154.044,0.016425
2.100,288.976,0.024122
2.110,591.912,0.015889
2.120,594.090,0.031478
2.130,1148.511,0.008755
2.140,924.820,0.022242
2.150,346.673,0.031178
2.160,35.351,0.041677
2.170,35.973,0.557255
2.180,36.233,0.322213
2.190,42.488,0.049096
2.200,54.866,0.006143
2.210,54.926,0.071106
2.220,55.076,0.104514
2.230,32.318,0.024526
2.240,32.201,0.024444
2.250,1876.835,0.023870
2.260,1856.849,0.039764
2.270,1818.109,0.020859
2.280,1797.860,0.013684
2.290,33.054,0.045523
2.300,44.264,0.026918
2.310,44.994,0.021205
2.320,44.470,0.042139
2.330,55.725,0.018306
2.340,1819.809,0.010836
2.350,1781.072,0.033848
2.360,1776.706,0.042885
2.370,1786.792,0.115843
2.380,590.287,0.438374
2.390,589.560,0.064414
2.400,1788.401,0.013465
2.410,32.707,0.030076
2.420,33.142,0.020292
2.430,1435.332,0.007182
2.440,449.807,0.054494
2.450,448.448,0.076777
2.460,48.911,0.015407
2.470,132.289,0.047563
2.480,132.734,0.254741
2.490,533.281,0.666816
2.500,533.574,0.670761
2.510,533.462,0.254553
2.520,32.277,0.020090
2.530,32.152,0.022434
2.540,1785.686,0.013971
2.550,1792.337,0.084740
2.560,1799.870,0.150417
2.570,43.967,0.034043
2.580,755.278,0.032996
2.590,49.392,0.058974
2.600,148.507,0.113799
2.610,295.146,0.050808
2.620,1456.178,0.084563
2.630,290.489,0.195513
2.640,32.138,0.063625
2.650,32.162,0.209581
2.660,32.363,0.082744
2.670,46.544,0.072084
2.680,46.291,0.253588
2.690,32.625,0.040018
2.700,530.509,0.014999
2.710,522.484,0.026813
2.720,1020.390,0.023783
2.730,1810.351,0.009372
2.740,1214.064,0.012816
2.750,403.402,0.059841
2.760,408.608,0.018000
2.770,37.774,0.125438
2.780,38.761,0.011665
2.790,32.189,0.006163
2.800,32.263,0.003873
2.810,48.730,0.039189
2.820,41.306,0.132440
2.830,42.494,0.023497
2.840,44.268,0.014023
2.850,119.154,0.175160
2.860,118.110,0.193222
2.870,241.530,0.047408
2.880,32.199,0.047434
2.890,32.811,0.064170
2.900,33.199,0.047254
2.910,1781.993,0.051733
2.920,1761.023,0.052074
2.930,1172.946,0.012025
2.940,36.899,0.050866
2.950,1969.062,0.038141
2.960,1215.993,0.024481
2.970,57.472,0.073499
2.980,54.630,0.012775
2.990,119.667,0.090063
3.000,44.807,0.018383
3.010,42.840,0.131732
3.020,43.356,0.110439
3.030,44.427,0.233421
3.040,43.627,0.346219
3.050,407.143,0.031844
3.060,32.289,0.217424
3.070,32.472,0.103604
3.080,32.320,0.042175
3.090,43.292,0.113366
3.100,120.754,0.020614
3.110,1173.038,0.048095
3.120,588.052,0.156921
3.130,264.910,0.106536
3.140,32.609,0.075837
3.150,32.401,0.067473
3.160,33.033,0.007625
3.170,33.634,0.038328
3.180,33.380,0.083681
3.190,32.757,0.070476
3.200,32.324,0.225625
3.210,32.498,0.051896
3.220,32.351,0.022561
3.230,32.250,0.012006
3.240,32.224,0.008428
3.250,32.278,0.012319
3.260,32.553,0.038173
3.270,32.406,0.070325
3.280,32.716,0.359357
3.290,32.905,0.614996
3.300,33.198,0.071329
3.310,398.022,0.181162
3.320,399.835,0.449791
3.330,200.854,0.435807
3.340,201.283,0.325117
3.350,403.028,0.160477
3.360,443.824,0.039115
3.370,326.876,0.052603
3.380,32.180,0.025643
3.390,326.369,0.122982
3.400,32.349,0.355996
3.410,32.734,0.431860
3.420,32.849,0.030016
3.430,54.260,0.049940
3.440,164.675,0.115025
3.450,167.108,0.567101
3.460,165.696,0.442704
3.470,331.728,0.161000
3.480,147.816,0.227979
3.490,100.217,0.151000
3.500,100.746,0.128252
3.510,100.447,0.313107
3.520,99.889,0.310370
3.530,99.652,0.099342
3.540,50.414,0.033421
3.550,49.952,0.026223
3.560,33.079,0.023693
3.570,32.929,0.102676
3.580,147.938,0.635742
3.590,149.124,0.804283
3.600,149.308,0.889858
3.610,149.928,0.847332
3.620,151.145,0.727307
3.630,154.502,0.227034
3.640,32.103,0.066207
3.650,40.812,0.118484
3.660,40.061,0.083272
3.670,39.912,0.147402
3.680,40.186,0.017410
3.690,1023.099,0.013412
3.700,1116.612,0.006501
3.710,989.902,0.006035
3.720,1211.056,0.011331
3.730,200.789,0.039680
3.740,198.637,0.136591
3.750,998.477,0.034200
3.760,33.034,0.095732
3.770,32.506,0.194023
3.780,32.341,0.156221
3.790,32.485,0.039110
3.800,1802.714,0.025791
3.810,1203.758,0.039581
3.820,1967.872,0.024760
3.830,400.756,0.052345
3.840,50.348,0.047893
3.850,597.741,0.039825
3.860,1200.223,0.060419
3.870,1192.593,0.043012
3.880,1802.461,0.020278
3.890,1800.473,0.021632
3.900,32.691,0.009330
3.910,32.846,0.016135
3.920,402.363,0.051000
3.930,404.143,0.071432
3.940,404.224,0.031415
3.950,990.465,0.033566
3.960,200.124,0.060130
3.970,99.533,0.044476
3.980,552.761,0.262593
3.990,556.638,0.514816
4.000,544.423,0.131322
4.010,198.483,0.443351
4.020,198.801,0.660401
4.030,198.284,0.799973
4.040,198.088,0.864215
4.050,197.837,0.834314
4.060,197.126,0.784341
4.070,197.286,0.597806
4.080,198.267,0.600636
4.090,201.110,0.546938
4.100,202.725,0.481049
4.110,198.961,0.064122
4.120,132.634,0.092313
4.130,35.614,0.015472
4.140,33.981,0.040590
4.150,32.631,0.022689
4.160,134.963,0.008188
4.170,43.745,0.003383
4.180,1214.501,0.006407
4.190,32.611,0.024502
4.200,32.845,0.017692
4.210,1174.734,0.013650
4.220,32.412,0.019291
4.230,222.254,0.031520
4.240,301.905,0.164853
4.250,166.373,0.256443
4.260,165.363,0.672930
4.270,166.240,0.810189
4.280,166.521,0.897056
4.290,166.299,0.887242
4.300,166.561,0.845360
4.310,166.717,0.637124
4.320,333.646,0.797797
4.330,333.659,0.782045
4.340,333.228,0.841386
4.350,333.565,0.898269
4.360,332.939,0.900727
4.370,332.670,0.872173
4.380,334.832,0.844916
4.390,334.581,0.863741
4.400,334.606,0.847384
4.410,334.067,0.814688
4.420,334.329,0.794907
4.430,332.155,0.691905
4.440,338.444,0.504863
4.450,344.549,0.226501
4.460,342.379,0.396987
4.470,295.406,0.389119
4.480,295.408,0.538676
4.490,297.234,0.426368
4.500,293.421,0.416393
4.510,294.049,0.604174
4.520,293.566,0.739565
4.530,221.671,0.420423
4.540,223.094,0.744658
4.550,223.702,0.686078
4.560,222.565,0.553775
4.570,220.279,0.656894
4.580,219.589,0.592719
4.590,218.447,0.499970
4.600,221.258,0.429719
4.610,298.734,0.148385
4.620,95.119,0.016341
4.630,90.880,0.201642
4.640,89.914,0.055069
4.650,34.331,0.213015
4.660,448.795,0.112995
4.670,535.293,0.118581
4.680,157.034,0.125549
4.690,541.447,0.098601
4.700,669.458,0.055106
4.710,337.330,0.063718
4.720,287.243,0.263562
4.730,291.814,0.499313
4.740,290.826,0.603225
4.750,290.971,0.724376
4.760,291.040,0.751296
4.770,291.435,0.725147
4.780,292.237,0.714897
4.790,293.023,0.662292
4.800,295.544,0.481933
4.810,301.870,0.535100
4.820,325.659,0.448059
4.830,447.888,0.023772
4.840,56.157,0.024306
4.850,32.659,0.016788
4.860,32.456,0.222888
4.870,287.993,0.322957
4.880,285.711,0.527593
4.890,280.053,0.462895
4.900,280.759,0.476877
4.910,281.068,0.489159
4.920,276.221,0.482924
4.930,298.711,0.291524
4.940,547.002,0.055745
4.950,290.622,0.360555
4.960,291.066,0.527636
4.970,292.417,0.343399
4.980,295.154,0.059324
4.990,445.627,0.014661
5.000,1614.685,0.032574
5.010,157.213,0.074873
5.020,1323.088,0.033902
5.030,289.361,0.268206
5.040,287.990,0.308049
5.050,290.476,0.399826
5.060,291.869,0.392946
5.070,1326.924,0.090712
5.080,297.582,0.100226
5.090,289.891,0.210170
5.100,439.315,0.188574
5.110,438.583,0.643009
5.120,32.349,0.119349
5.130,33.106,0.444871
5.140,33.286,0.194458
5.150,166.906,0.151248
5.160,454.583,0.176511
5.170,454.271,0.094449
5.180,32.551,0.074024
5.190,32.594,0.027337
5.200,671.603,0.041721
5.210,224.355,0.327655
5.220,226.123,0.390685
5.230,225.643,0.460125
5.240,223.963,0.386296
5.250,224.209,0.581196
5.260,223.519,0.735445
5.270,222.755,0.502352
5.280,221.524,0.085017
5.290,665.048,0.092138
5.300,674.826,0.052398
5.310,1787.934,0.021035
5.320,32.562,0.026659
5.330,139.370,0.012191
5.340,32.396,0.008207
5.350,32.332,0.022799
5.360,33.107,0.025013
5.370,33.123,0.072157
5.380,32.794,0.048443
5.390,536.488,0.306729
5.400,534.899,0.458007
5.410,530.760,0.296422
5.420,528.785,0.118275
5.430,670.309,0.047531
5.440,589.702,0.052368
